24,Front-Wheel Drive,1500,Regular Gasoline,Honda,Accord,Manual 5-spd,Compact Cars,1997,-750,
19,Front-Wheel Drive,1900,Regular Gasoline,Honda,Accord,Automatic 4-spd,Compact Cars,1997,-2750,
27,Front-Wheel Drive,1300,Regular Gasoline,Hyundai,Accent (SOHC),Automatic 4-spd,Compact Cars,1997,250,
28,Front-Wheel Drive,1300,Regular Gasoline,Hyundai,Accent (SOHC),Manual 5-spd,Compact Cars,1997,250,
23,Front-Wheel Drive,1550,Regular Gasoline,Hyundai,Elantra,Automatic 4-spd,Compact Cars,1997,-1000,
24,Front-Wheel Drive,1500,Regular Gasoline,Hyundai,Elantra,Manual 5-spd,Compact Cars,1997,-750,
18,Rear-Wheel Drive,2400,Premium Gasoline,Jaguar,XJ6,Automatic 4-spd,Compact Cars,1997,-5250,
19,Front-Wheel Drive,1900,Regular Gasoline,Lexus,ES 300,Automatic 4-spd,Compact Cars,1997,-2750,
23,Front-Wheel Drive,1550,Regular Gasoline,Mercury,Mystique,Automatic 4-spd,Compact Cars,1997,-1000,
23,Front-Wheel Drive,1550,Regular Gasoline,Chrysler,LeBaron GTS,Manual 5-spd,Midsize Cars,1985,-1000,
24,Front-Wheel Drive,1500,Regular Gasoline,Mercury,Mystique,Manual 5-spd,Compact Cars,1997,-750,
22,Front-Wheel Drive,1600,Regular Gasoline,Mercury,Mystique,Automatic 4-spd,Compact Cars,1997,-1250,
21,Front-Wheel Drive,1700,Regular Gasoline,Mercury,Mystique,Manual 5-spd,Compact Cars,1997,-1750,
26,Front-Wheel Drive,1350,Regular Gasoline,Mercury,Tracer,Automatic 4-spd,Compact Cars,1997,0,
28,Front-Wheel Drive,1300,Regular Gasoline,Mercury,Tracer,Manual 5-spd,Compact Cars,1997,250,
20,Front-Wheel Drive,2150,Premium Gasoline,Mazda,Millenia,Automatic 4-spd,Compact Cars,1997,-4000,
20,Front-Wheel Drive,2150,Premium Gasoline,Mazda,Millenia,Automatic 4-spd,Compact Cars,1997,-4000,
25,Front-Wheel Drive,1450,Regular Gasoline,Mazda,Protege,Automatic 4-spd,Compact Cars,1997,-500,
29,Front-Wheel Drive,1250,Regular Gasoline,Mazda,Protege,Manual 5-spd,Compact Cars,1997,500,
23,Front-Wheel Drive,1550,Regular Gasoline,Mazda,Protege,Automatic 4-spd,Compact Cars,1997,-1000,
23,Front-Wheel Drive,1550,Regular Gasoline,Chrysler,LeBaron GTS,Manual 5-spd,Midsize Cars,1985,-1000,
25,Front-Wheel Drive,1450,Regular Gasoline,Mazda,Protege,Manual 5-spd,Compact Cars,1997,-500,
23,Rear-Wheel Drive,1900,Premium Gasoline,Mercedes-Benz,C230,Automatic 5-spd,Compact Cars,1997,-2750,
20,Rear-Wheel Drive,2150,Premium Gasoline,Mercedes-Benz,C280,Automatic 5-spd,Compact Cars,1997,-4000,
19,Rear-Wheel Drive,2250,Premium Gasoline,Mercedes-Benz,C36 AMG,Automatic 5-spd,Compact Cars,1997,-4500,
16,Rear-Wheel Drive,2700,Premium Gasoline,Mercedes-Benz,S500 Coupe,Automatic 5-spd,Compact Cars,1997,-6750,
14,Rear-Wheel Drive,3100,Premium Gasoline,Mercedes-Benz,S600 Coupe,Automatic 5-spd,Compact Cars,1997,-8750,
22,Front-Wheel Drive,1600,Regular Gasoline,Mitsubishi,Galant,Automatic 4-spd,Compact Cars,1997,-1250,
23,Front-Wheel Drive,1550,Regular Gasoline,Mitsubishi,Galant,Manual 5-spd,Compact Cars,1997,-1000,
20,Front-Wheel Drive,1800,Regular Gasoline,Mitsubishi,Galant,Automatic 4-spd,Compact Cars,1997,-2250,
28,Front-Wheel Drive,1300,Regular Gasoline,Mitsubishi,Mirage,Automatic 4-spd,Compact Cars,1997,250,
23,Front-Wheel Drive,1550,Regular Gasoline,Honda,Accord,Manual 5-spd,Subcompact Cars,1985,-1000,
19,Front-Wheel Drive,-1,Premium,17,Chrysler,0.0,0,Midsize Cars,1985,
31,Front-Wheel Drive,1150,Regular Gasoline,Mitsubishi,Mirage,Manual 5-spd,Compact Cars,1997,1000,
26,Front-Wheel Drive,1350,Regular Gasoline,Mitsubishi,Mirage,Automatic 4-spd,Compact Cars,1997,0,
28,Front-Wheel Drive,1300,Regular Gasoline,Mitsubishi,Mirage,Manual 5-spd,Compact Cars,1997,250,
23,Front-Wheel Drive,1550,Regular Gasoline,Oldsmobile,Achieva,Automatic 4-spd,Compact Cars,1997,-1000,
23,Front-Wheel Drive,1550,Regular Gasoline,Oldsmobile,Achieva,Manual 5-spd,Compact Cars,1997,-1000,
21,Front-Wheel Drive,1700,Regular Gasoline,Oldsmobile,Achieva,Automatic 4-spd,Compact Cars,1997,-1750,
25,Front-Wheel Drive,1450,Regular Gasoline,Plymouth,Neon,Automatic 3-spd,Compact Cars,1997,-500,
29,Front-Wheel Drive,1250,Regular Gasoline,Plymouth,Neon,Manual 5-spd,Compact Cars,1997,500,
23,Front-Wheel Drive,1550,Regular Gasoline,Pontiac,Grand Am,Automatic 4-spd,Compact Cars,1997,-1000,
23,Front-Wheel Drive,1550,Regular Gasoline,Pontiac,Grand Am,Manual 5-spd,Compact Cars,1997,-1000,
19,Front-Wheel Drive,1900,Regular Gasoline,Chrysler,New Yorker,Automatic 3-spd,Midsize Cars,1985,-2750,
21,Front-Wheel Drive,1700,Regular Gasoline,Pontiac,Grand Am,Automatic 4-spd,Compact Cars,1997,-1750,
24,Front-Wheel Drive,1500,Regular Gasoline,Pontiac,Sunfire,Automatic 3-spd,Compact Cars,1997,-750,
25,Front-Wheel Drive,1450,Regular Gasoline,Pontiac,Sunfire,Automatic 4-spd,Compact Cars,1997,-500,
26,Front-Wheel Drive,1350,Regular Gasoline,Pontiac,Sunfire,Manual 5-spd,Compact Cars,1997,0,
24,Front-Wheel Drive,1500,Regular Gasoline,Pontiac,Sunfire,Manual 5-spd,Compact Cars,1997,-750,
23,Front-Wheel Drive,1550,Regular Gasoline,Pontiac,Sunfire,Automatic 4-spd,Compact Cars,1997,-1000,
23,Front-Wheel Drive,1550,Regular Gasoline,Pontiac,Sunfire,Manual 5-spd,Compact Cars,1997,-1000,
12,Rear-Wheel Drive,-1,Premium,0,Rolls-Royce,0.0,0,Compact Cars,1997,
25,Front-Wheel Drive,1450,Regular Gasoline,Saturn,SL,Automatic 4-spd,Compact Cars,1997,-500,
27,Front-Wheel Drive,1300,Regular Gasoline,Saturn,SL,Automatic 4-spd,Compact Cars,1997,250,
16,Rear-Wheel Drive,2700,Premium Gasoline,Chrysler,Newport/Fifth Avenue,Automatic 3-spd,Midsize Cars,1985,-6750,
27,Front-Wheel Drive,1300,Regular Gasoline,Saturn,SL,Manual 5-spd,Compact Cars,1997,250,
28,Front-Wheel Drive,1300,Regular Gasoline,Saturn,SL,Manual 5-spd,Compact Cars,1997,250,
24,Front-Wheel Drive,1500,Regular Gasoline,Subaru,Legacy,Automatic 4-spd,Compact Cars,1997,-750,
23,4-Wheel or All-Wheel Drive,1550,Regular Gasoline,Subaru,Legacy AWD,Automatic 4-spd,Compact Cars,1997,-1000,
23,4-Wheel or All-Wheel Drive,1550,Regular Gasoline,Subaru,Legacy AWD,Manual 5-spd,Compact Cars,1997,-1000,
21,4-Wheel or All-Wheel Drive,1700,Regular Gasoline,Subaru,Legacy AWD,Automatic 4-spd,Compact Cars,1997,-1750,
21,4-Wheel or All-Wheel Drive,1700,Regular Gasoline,Subaru,Legacy AWD,Manual 5-spd,Compact Cars,1997,-1750,
37,Front-Wheel Drive,-1,Diesel,0,Volkswagen,0.0,0,Compact Cars,1997,
22,Front-Wheel Drive,1600,Regular Gasoline,Volkswagen,Golf/GTI,Automatic 4-spd,Compact Cars,1997,-1250,
24,Front-Wheel Drive,1500,Regular Gasoline,Volkswagen,Golf/GTI,Manual 5-spd,Compact Cars,1997,-750,
20,Front-Wheel Drive,1800,Regular Gasoline,Dodge,Aries,Automatic 3-spd,Midsize Cars,1985,-2250,
19,Front-Wheel Drive,1900,Regular Gasoline,Volkswagen,GTI VR6,Manual 5-spd,Compact Cars,1997,-2750,
37,Front-Wheel Drive,-1,Diesel,15,Volkswagen,0.0,0,Compact Cars,1997,
22,Front-Wheel Drive,1600,Regular Gasoline,Volkswagen,Jetta,Automatic 4-spd,Compact Cars,1997,-1250,
24,Front-Wheel Drive,1500,Regular Gasoline,Volkswagen,Jetta,Manual 5-spd,Compact Cars,1997,-750,
19,Front-Wheel Drive,1900,Regular Gasoline,Volkswagen,Jetta GLX,Automatic 4-spd,Compact Cars,1997,-2750,
19,Front-Wheel Drive,1900,Regular Gasoline,Volkswagen,Jetta GLX,Manual 5-spd,Compact Cars,1997,-2750,
19,Rear-Wheel Drive,2250,Premium Gasoline,Volvo,960/S90,Automatic 4-spd,Compact Cars,1997,-4500,
19,Front-Wheel Drive,2250,Premium Gasoline,Acura,3.5RL,Automatic 4-spd,Midsize Cars,1997,-4500,
18,Front-Wheel Drive,2400,Premium Gasoline,Audi,A8,Automatic 5-spd,Midsize Cars,1997,-5250,
18,4-Wheel or All-Wheel Drive,2400,Premium Gasoline,Audi,A8,Automatic 5-spd,Midsize Cars,1997,-5250,
24,Front-Wheel Drive,1500,Regular Gasoline,Dodge,Aries,Manual 4-spd,Midsize Cars,1985,-750,
21,Front-Wheel Drive,1700,Regular Gasoline,Buick,Regal/Century,Automatic 4-spd,Midsize Cars,1997,-1750,
20,Front-Wheel Drive,1800,Regular Gasoline,Buick,Regal/Century,Automatic 4-spd,Midsize Cars,1997,-2250,
20,Front-Wheel Drive,1800,Regular Gasoline,Buick,Riviera,Automatic 4-spd,Midsize Cars,1997,-2250,
